Frame,Total_Veh,Turismos,Motos,Buses,Camiones,Densidad_k,LOS,Riesgos
294,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
295,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
296,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:319
297,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
298,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:319
299,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
300,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
301,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
302,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
303,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
304,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
305,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
306,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
307,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
308,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
309,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
310,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
311,5,5,0,0,0,190.3487898295099,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
312,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
313,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
314,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ PROXIMIDAD, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
315,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ PROXIMIDAD, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
316,2,2,0,0,0,76.13951593180397,E (Capacidad),
317,2,2,0,0,0,76.13951593180397,E (Capacidad),
318,2,2,0,0,0,76.13951593180397,E (Capacidad),
319,2,2,0,0,0,76.13951593180397,E (Capacidad),
320,2,2,0,0,0,76.13951593180397,E (Capacidad),
321,4,4,0,0,0,152.27903186360794,F (Colapso),
322,2,2,0,0,0,76.13951593180397,E (Capacidad),
323,3,3,0,0,0,114.20927389770596,F (Colapso),
324,2,2,0,0,0,76.13951593180397,E (Capacidad),
325,4,4,0,0,0,152.27903186360794,F (Colapso),
326,5,5,0,0,0,190.3487898295099,F (Colapso),⚠️ STOP ID:370
327,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:313, ⚠️ STOP ID:370"
328,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
329,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
330,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:370"
331,4,4,0,0,0,152.27903186360794,F (Colapso),
332,4,4,0,0,0,152.27903186360794,F (Colapso),
333,5,5,0,0,0,190.3487898295099,F (Colapso),
334,3,3,0,0,0,114.20927389770596,F (Colapso),
335,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:370
336,4,4,0,0,0,152.27903186360794,F (Colapso),
337,4,4,0,0,0,152.27903186360794,F (Colapso),
338,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:370
339,2,2,0,0,0,76.13951593180397,E (Capacidad),
340,3,3,0,0,0,114.20927389770596,F (Colapso),
341,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:370
342,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:370
343,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:370
344,4,4,0,0,0,152.27903186360794,F (Colapso),⚠️ STOP ID:370
345,3,3,0,0,0,114.20927389770596,F (Colapso),⚠️ STOP ID:370
346,3,3,0,0,0,114.20927389770596,F (Colapso),
347,4,4,0,0,0,152.27903186360794,F (Colapso),
348,3,3,0,0,0,114.20927389770596,F (Colapso),
349,3,3,0,0,0,114.20927389770596,F (Colapso),
350,2,2,0,0,0,76.13951593180397,E (Capacidad),
351,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:313, ⚠️ STOP ID:370"
352,2,2,0,0,0,76.13951593180397,E (Capacidad),
353,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:313, ⚠️ STOP ID:370"
354,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:313
355,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:313
356,2,2,0,0,0,76.13951593180397,E (Capacidad),⚠️ STOP ID:313
357,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
358,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
359,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
360,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
361,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
362,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
363,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
364,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313, ⚠️ STOP ID:370"
365,2,2,0,0,0,76.13951593180397,E (Capacidad),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
366,3,3,0,0,0,114.20927389770596,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
367,4,4,0,0,0,152.27903186360794,F (Colapso),"⚠️ STOP ID:319, ⚠️ STOP ID:313"
