Frame,Total,Turismos,Motos,Buses,Camiones,Bicis,Densidad,LOS
360,0,0,0,0,0,0,0.0,A (Libre)
361,0,0,0,0,0,0,0.0,A (Libre)
362,0,0,0,0,0,0,0.0,A (Libre)
363,0,0,0,0,0,0,0.0,A (Libre)
364,0,0,0,0,0,0,0.0,A (Libre)
365,0,0,0,0,0,0,0.0,A (Libre)
366,0,0,0,0,0,0,0.0,A (Libre)
367,0,0,0,0,0,0,0.0,A (Libre)
368,0,0,0,0,0,0,0.0,A (Libre)
369,0,0,0,0,0,0,0.0,A (Libre)
370,0,0,0,0,0,0,0.0,A (Libre)
371,0,0,0,0,0,0,0.0,A (Libre)
372,0,0,0,0,0,0,0.0,A (Libre)
373,0,0,0,0,0,0,0.0,A (Libre)
374,0,0,0,0,0,0,0.0,A (Libre)
375,0,0,0,0,0,0,0.0,A (Libre)
376,0,0,0,0,0,0,0.0,A (Libre)
377,0,0,0,0,0,0,0.0,A (Libre)
378,0,0,0,0,0,0,0.0,A (Libre)
379,0,0,0,0,0,0,0.0,A (Libre)
380,0,0,0,0,0,0,0.0,A (Libre)
381,0,0,0,0,0,0,0.0,A (Libre)
382,0,0,0,0,0,0,0.0,A (Libre)
383,0,0,0,0,0,0,0.0,A (Libre)
384,0,0,0,0,0,0,0.0,A (Libre)
385,0,0,0,0,0,0,0.0,A (Libre)
386,0,0,0,0,0,0,0.0,A (Libre)
387,0,0,0,0,0,0,0.0,A (Libre)
388,0,0,0,0,0,0,0.0,A (Libre)
389,0,0,0,0,0,0,0.0,A (Libre)
390,0,0,0,0,0,0,0.0,A (Libre)
391,0,0,0,0,0,0,0.0,A (Libre)
392,0,0,0,0,0,0,0.0,A (Libre)
393,0,0,0,0,0,0,0.0,A (Libre)
394,0,0,0,0,0,0,0.0,A (Libre)
395,0,0,0,0,0,0,0.0,A (Libre)
396,0,0,0,0,0,0,0.0,A (Libre)
397,0,0,0,0,0,0,0.0,A (Libre)
398,0,0,0,0,0,0,0.0,A (Libre)
399,0,0,0,0,0,0,0.0,A (Libre)
400,0,0,0,0,0,0,0.0,A (Libre)
401,0,0,0,0,0,0,0.0,A (Libre)
402,0,0,0,0,0,0,0.0,A (Libre)
403,0,0,0,0,0,0,0.0,A (Libre)
404,0,0,0,0,0,0,0.0,A (Libre)
405,0,0,0,0,0,0,0.0,A (Libre)
406,0,0,0,0,0,0,0.0,A (Libre)
407,0,0,0,0,0,0,0.0,A (Libre)
408,0,0,0,0,0,0,0.0,A (Libre)
409,0,0,0,0,0,0,0.0,A (Libre)
410,0,0,0,0,0,0,0.0,A (Libre)
411,0,0,0,0,0,0,0.0,A (Libre)
412,0,0,0,0,0,0,0.0,A (Libre)
413,0,0,0,0,0,0,0.0,A (Libre)
414,0,0,0,0,0,0,0.0,A (Libre)
415,0,0,0,0,0,0,0.0,A (Libre)
416,0,0,0,0,0,0,0.0,A (Libre)
417,0,0,0,0,0,0,0.0,A (Libre)
418,0,0,0,0,0,0,0.0,A (Libre)
419,0,0,0,0,0,0,0.0,A (Libre)
420,0,0,0,0,0,0,0.0,A (Libre)
421,0,0,0,0,0,0,0.0,A (Libre)
422,0,0,0,0,0,0,0.0,A (Libre)
423,0,0,0,0,0,0,0.0,A (Libre)
424,0,0,0,0,0,0,0.0,A (Libre)
425,0,0,0,0,0,0,0.0,A (Libre)
426,0,0,0,0,0,0,0.0,A (Libre)
427,0,0,0,0,0,0,0.0,A (Libre)
428,0,0,0,0,0,0,0.0,A (Libre)
429,0,0,0,0,0,0,0.0,A (Libre)
430,0,0,0,0,0,0,0.0,A (Libre)
431,0,0,0,0,0,0,0.0,A (Libre)
432,0,0,0,0,0,0,0.0,A (Libre)
433,0,0,0,0,0,0,0.0,A (Libre)
434,0,0,0,0,0,0,0.0,A (Libre)
435,0,0,0,0,0,0,0.0,A (Libre)
436,0,0,0,0,0,0,0.0,A (Libre)
437,0,0,0,0,0,0,0.0,A (Libre)
438,0,0,0,0,0,0,0.0,A (Libre)
439,0,0,0,0,0,0,0.0,A (Libre)
440,0,0,0,0,0,0,0.0,A (Libre)
441,0,0,0,0,0,0,0.0,A (Libre)
442,0,0,0,0,0,0,0.0,A (Libre)
443,0,0,0,0,0,0,0.0,A (Libre)
444,0,0,0,0,0,0,0.0,A (Libre)
445,0,0,0,0,0,0,0.0,A (Libre)
446,0,0,0,0,0,0,0.0,A (Libre)
447,0,0,0,0,0,0,0.0,A (Libre)
448,0,0,0,0,0,0,0.0,A (Libre)
